511 511 0 0
511 512 0 0
511 513 0 0
512 512 0 0
511 514 0 0
514 513 0 0
500 500 0 -1
501 501 0 -1
0 0 2 1
1 1 2 1
-1 -1 2 1
-1 1 2 1
1 -1 2 1
2 -2 2 1
-2 2 2 1
-2 -2 2 1
2 2 2 1
100 100 2 2
101 101 2 2
101 100 2 2
101 100 2 2
102 101 2 2
101 102 2 2
102 102 2 2
-50 -59 2 -1
500 500 2 -1
501 501 2 -1
502 502 2 -1
140565,495947663
203363,781492035 262682,779368606
147120,062961772 465016,956852142
115972,136204793 119865,153901243
195494,792500208 610161,842856501
14212,9732910525 61480,9034935501
-116527,45041959 513824,14671562
-19658,8017781073 91647,0027161138
129569,848890657 212296,275957744
750311,874515027 382541,374983525
-16789,6815694886 416518,490345639
544681,784884877 356727,576688562
243096,492384772 306125,955878816
191300,233984362 232078,473789056
-62250,175473447 402705,546847009
-77536,8616023347 172230,744454555
82526,2582190122 52902,2090582187
342002,257099018 400030,966386713
58891,564736476 269333,528855431
282716,70952476 216487,481686302
116883,139433887 721415,61827597
145159,813067392 399135,431352899
-150973,424289785 880144,040693889
-89956,811973371 316701,590156195
17638,8280644369 712337,82338542
279527,66512785 280441,985528572
-59902,2161240551 438169,38382556
534887,401535009 189070,571067619
-172846,649099014 490603,590724017
124334,216465705 111242,513531773
-32505,4924252375 105013,790462789
115713,024619826 252804,693220143
167250,782549487 366583,625535343
182041,744469021 453960,729284322
41813,4456172415 152274,137521469
143359,840915995 483512,851609594
53117,157083667 98165,7575512071
317328,900114514 224152,627351156
-1548,08490265351 325523,739692464
-17511,9932156489 135291,720962485
246074,47691193 653951,157903928
-100416,793338786 475481,199120321
190551,499691748 439245,695247709
107779,918227641 398609,283572693
91173,2095635385 30686,7286447653
266564,611262517 262292,860487414
260459,839833642 132734,887330049
264582,335416825 554376,509066567
-2914,56690028057 110541,978945831
6199,04185758207 131042,600479604
118156,907090193 374623,631138366
3306,64501216572 644269,393050132
97356,7843139445 220095,586314775
230672,616907413 95428,9451053855
326560,784254088 284334,421312226
94146,0671391981 57873,2182691014
280812,142685808 118332,020359162
50516,1648811289 23882,4271744771
-16229,31368951 383188,750506247
-14387,1312713377 23807,8720817034
445018,695501813 232199,188690776
10668,8796329596 148319,178147131
-29224,7768082883 36698,9922735463
396989,478917634 405680,022468892
343747,70427099 647150,200776969
236652,092738676 78760,0622360916
63825,6053095328 553391,59525036
105753,201212178 161919,014068865
265168,535322964 223213,676315548
54534,4723193131 230078,0480339
-34996,8500882093 166496,207355991
135612,868726141 503533,987342242
127506,628467788 41822,8230035113
-1158,62263318413 525934,525872127
456817,475512041 351791,69332354
339656,804784363 250271,975395419
-116069,21869926 735533,226553306
446118,228321391 186334,237377666
-146575,383456315 488961,891379743
11228,2839150812 91970,8113007112
378019,856457077 128559,211102779
422218,215561689 710437,751105395
166044,031816442 124742,209064629
-41035,2382135062 429671,967440961
114396,331476657 166590,356312781
109783,442618903 133377,976834305
115064,544889932 60630,5153868257
56775,0405226979 265459,61787179
-70536,1289799996 282199,136462063
1741,77929030069 496024,736212919
1420,37369550735 715452,274028617
158790,044055766 673009,648503878
15297,2766126056 359317,886442802
-23894,5511042082 155220,076131441
109209,952227305 364890,187515938
433901,063325498 159132,774063886
-12756,0119341221 211885,058373974
43470,8022989746 19808,7787526421
89147,1057997547 100195,781810434
-7385,7487582824 157177,965752695
82425,0379752671 439971,281761159
293375,137887932 340567,44638592
3787,99521553889 865229,77061048
390039,110585711 296351,378429324
81477,7052820505 98925,314057395
176914,313563114 506811,169578596
8526,38471367135 66750,0359193492
202147,701117437 542653,301224656
461876,391894856 391004,441938561
285237,754443084 127357,603336206
-46888,4093987017 758305,579616567
-17489,5370587276 39490,1050464483
187390,843295548 249425,732035426
1334,55751489036 21695,4894713971
-46976,4945855143 406783,136305093
29419,2714061557 350443,504969721
46701,0873711962 321924,550476655
148757,525541949 847177,245908559
171545,124585269 144489,253025639
644125,559421344 356855,608645428
1734,457356957 99701,3074680405
-17141,1692604498 200917,910049489
-282700,774851076 261939,77944007
-467570,976735265 -325992,38957162
-140058,459241175 -135684,110740837
-100305,265501903 190987,040872662
-846258,829233217 186616,732933952
-96342,6577453095 -9166,76459311543
-943744,301486874 -103162,97382515
-92339,7634378819 -418296,935829556
-307755,637060785 198356,812534085
-221263,821759566 -193803,524182553
-64097,4102326163 -86015,3354788457
-419951,280588019 179298,791695531
-193000,095543669 -217410,403972771
-449408,350240704 -61939,0733862105
-655957,883159348 429954,887851322
-132390,261406397 179838,740782788
-52813,4478903094 -140680,678916802
-22450,5098383112 -187835,967358624
-32083,1388797779 -69022,8863171241
-375554,197563097 1062,12098776974
-408154,616204896 31428,1909616604
-52925,6194502551 -344502,664308659
-331310,396456392 -461560,949063765
-176777,097923115 -3769,41650941242
-244761,782608368 164997,498516615
-227007,19071307 179012,146785483
-355035,74851101 65014,4531916568
-338501,003848203 -193956,124371856
-520482,01676221 461471,908931252
-17739,9012006102 -169520,737856035
-463290,210863714 -88871,4867937265
-116339,109132511 25376,4936166604
-367577,473744332 -4889,09842626848
-67471,5375899805 -748118,786647901
-241923,885276468 355,294734296992
-632293,295154862 -185145,050642793
-97492,3238569509 -54127,9408999961
-33575,1412007004 -511980,51792718
-267917,006786344 -924506,059078946
-294617,524772689 121433,044444329
-32896,2273909786 -125071,981012678
-470862,306815152 -92797,0772177833
-556201,608239618 -875317,496778187
-655923,873747663 -25944,6119847044
-405249,65668399 341920,248862759
-46203,6076886363 66782,6551824872
-193087,841178117 78780,9229090037
-411376,358590389 -84422,5899461376
-607696,875659978 287804,897093218
-222465,694372774 -669544,874601468
-39007,0306924903 -365335,649839462
-224658,884751559 376047,420783174
-208464,457511992 138301,81894826
-174217,145241559 -77198,5150322814
-532263,932228536 616691,64483567
-186261,075243885 -218522,845137672
-265104,584441645 -224472,560992521
-478697,031601647 81813,5019243087
-626392,758451379 576714,043851431
-173757,305566295 -103268,12248843
-261383,425703848 2606,25256918196
-443389,923697488 -402543,248731288
-103439,094893015 -216968,056090189
-133703,087122514 115286,5738811
-456042,941159447 -807584,005820094
-666067,123893079 58260,409274921
-124838,01647933 -23399,5735971693
-76617,4764241471 -667686,666126679
-95431,0051734192 24266,182408929
-508863,043823681 -239551,885774574
-481152,759609228 3567,51629061788
-146825,709497209 145088,0347236
-836290,326570742 -584974,1659807
-418561,057551108 -265901,227238367
-53471,9553313614 -263738,825928565
-269133,534318392 -69069,2385866625
-30353,3186563017 -57103,7314343023
-744222,822199817 -738072,295930958
-415860,195380802 -193448,191315908
-91642,4747316551 -278158,026127488
-123678,367513601 -179564,534342429
-367324,704911357 540104,540427882
-458031,654034096 -610773,811151772
-176536,50708963 -830952,533306092
-537980,015262084 54215,3040417322
-215021,839631698 -45653,9335972871
-33236,0429514833 -114528,23383537
-635419,719341311 114462,413135718
-503356,304671836 27534,0496556154
-257832,419557922 -111088,377603881
-334114,199876088 -206697,39179783
-90643,4822357723 -10287,3485848831
-91435,9946807232 -121980,416193263
-219559,114723291 93637,2669588995
-43490,7338727036 -44192,5785563945
-47936,5173779458 -168979,133766062
-208091,05613132 200797,274304836
-13543,4943618856 -340960,991776048
-26943,8615525029 -266518,938463341
-28041,1771873772 -69624,7239188425
-58782,9861577223 -8865,01440533111
-104024,249335244 -6419,91504230765
-375464,719126151 228505,719481372
-680672,925596522 -11277,213437365
-623465,398024379 -118506,409670416
-146666,834378492 -87849,2651918713
-99942,6795357059 120177,048857548
-182413,924106096 34027,4231744359
-169271,948645152 -353388,658826045
-71066,2654308557 -678077,161028496
-235537,834760264 -171617,103406162
-391898,050396481 -242677,943936525
-55077,520387965 -731765,109342244
-167163,989496259 174607,928446222
-685248,422501892 -259800,443359299
-106394,591277997 -290489,338606536
-378665,211452287 45009,1152681043
-103428,241367503 168578,444530707
-238626,796747468 52478,9214776964
-174607,708161511 66469,0712031299
-20546,967064084 -90015,1194026187
-717179,051980081 -374841,588032958
-809076,07731262 285381,367231609
-406836,562868098 -153563,022369478
-279110,507426361 356759,433454297
-128850,237830526 -163442,414336262
-132078,542673103 -1067,41095352052
-204351,030447283 10078,6914259306
-176888,667965165 -90996,7020212145
-256170,187205263 -413418,067559091
-59686,9413413559 -199505,937491337
-591650,459136959 118450,724057173
-227706,697159929 -15247,9355374472
-405558,053586483 -231900,494340314
-381335,175884295 -130716,173931919
-138911,067779358 5508,69086940991
-379522,313073618 14519,3412450605
-152920,952384549 -418580,97059355
-40983,6535353082 -369266,656483365
-23400,290463362 -210392,271274585
-924664,239289428 289017,755717062
-60557,8530470905 -441437,3843012
-60965,5887797552 30717,0506510078
-723946,739559941 -145998,602905386
-663808,158075307 -82655,7889834274
-760345,688165557 -227952,911179084
-62168,8872195095 -369196,831428164
-557230,094548229 -2706,21669005892
-127641,316557082 -471997,555650539
-30386,2154501245 20362,0342163518
-193162,239756229 134963,964992681
-133892,710340334 -430581,685647936
-484665,204174946 -361682,878419511
-57536,8198104346 -271309,958170009
-328027,257489103 -64360,3097823841
-202181,676900267 223884,500898385
-139337,752977175 -579215,231931885
-61243,9576426702 98284,7046798066
-466176,033059256 -153742,963504871
-83617,6008619245 -764402,816822917
-76809,8731724293 -299990,170299086
-438907,726187508 -512099,067909543
-168244,960695878 -430721,133537875
-370187,153810551 -206966,282401418
-571265,08186853 56621,6552961234
-720217,818507628 -163945,140382418
-244173,637068892 -522201,56283036
-134039,781387171 178610,854826959
-293491,71742718 -170520,865167738
-677012,382166349 -450794,57293927
-90189,8961992091 11042,3429947762
-788496,374514515 236983,250117175
-44762,4918700152 -964365,68003546
-127119,493678001 -127171,796099016
-362430,650679246 -188107,128917328
-182886,884903713 -652159,090316716
-69240,0423398726 -127197,450765966
-318261,850697172 242988,452057572
-265091,893499598 -224263,465079982
-208908,400612859 -474282,164527078
-120998,188029409 73228,8075181231
-473429,472134621 -193862,139411201
-81718,9273371906 -116273,885205603
-36529,6586120267 -3541,67798560237
-263378,973907189 -545395,637949507
-106203,943848635 -397520,846741163
-377831,03476424 144451,958084826
-106914,409774879 -127252,966995558
-129879,481058606 116590,594787574
-128375,411090052 -23480,7599196885
-439349,725582424 22492,9674058691
-664876,670689514 400328,650456571
-151791,340389229 -681631,177654684
-198897,542593542 62252,1233934546
-84457,4929881308 144384,0839036
-162524,325490017 29887,2239410678
-407026,448243484 -22111,9849694222
-516337,444329587 119332,299049304
-52174,8380864849 -261682,777010949
-423605,094765855 -75004,8220297987
-241955,791342052 20843,1673743032
-127953,979386216 -283606,878335469
-305047,456168404 177450,505085168
-187704,58624437 11588,3598580665
-41674,7065560774 -213271,757508343
-548225,85281528 2936,14392088081
-166588,768921989 -366421,579663073
-168473,038433623 104401,509357803
-259117,968174352 -267041,169143514
-135006,136967643 -176223,686187705
-304276,443707255 -402396,218209993
-117302,030254434 184865,907709221
-165336,34460067 -322900,417166541
-313310,198356846 -46022,859113764
-137219,969470114 272911,011393584
-196662,918515253 208132,439607102
-163594,127601203 29628,8364963684
-92292,6086632929 -96515,8502805512
-472701,350457851 -20801,1751507917
-110969,105910456 -284408,778877486
-91234,9457137845 -84303,8447482404
-264513,694074482 973,487875733286
-106820,025397657 -96533,6785893304
-32894,6104605257 -264780,328744266
-305671,653851218 -383747,763819071
-335864,946980404 351500,350971659
-545492,612813801 190260,193755038
-96979,0972993006 55379,9805969056
-635271,579409557 -166368,517857702
-194446,452132344 -160436,260767838
-238455,067411533 54575,4881596889
-109457,883435999 -93536,2509286591
-683090,672489265 -449289,788381984
-355894,591065929 -125428,09579305
-260443,393245914 -10988,6291812633
-548214,533835511 -14654,3031537227
-402062,429533553 -122581,654449767
-56855,2403236605 22144,5622666742
-15496,167735118 -728518,032751022
-53270,8130163768 -143301,49070786
-113002,163498688 73710,6869373753
-143600,775979118 -13435,6881381318
-221384,209235531 26112,2042469164
-160915,884506653 -299710,592436554
-377332,656405708 145108,311406971
-524701,997463551 114020,259318585
-53659,3671526873 99407,0083593461
-24109,4285504871 -23337,8963934006
-38986,1048561782 19200,4022891523
