0 0 2 1
1 1 2 1
-1 -1 2 1
-1 1 2 1
1 -1 2 1
2 -2 2 1
-2 2 2 1
-2 -2 2 1
2 2 2 1
100 100 2 2
101 101 2 2
101 100 2 2
101 100 2 2
102 101 2 2
101 102 2 2
102 102 2 2
-50 -59 2 -1
-50 -60 2 -1
-60 -60 2 -1
-60 -50 2 -1
-55 -55 2 -1
-56 -56 2 -1
-56 -55 2 -1
511 511 0 0
511 512 0 0
511 513 0 0
512 512 0 0
511 514 0 0
514 513 0 0
500 500 0 -1
501 501 0 -1
502 502 0 -1
501 502 0 -1
502 501 0 -1
2 501 1 -1
 532918,448389906
-19897,572454667 -13985,9081404833
-316113,471302904 155538,517502308
10690,4053662729 -416812,852603068
-39444,7994306706 -176719,295623118
-5838,3820162706 297438,374587222
266769,396515751 6072,14250687516
-230493,587003858 -26768,5057287712
-38288,5502768907 -679994,600939944
71517,2395051258 4623,28606161628
-44301,3767714581 -95982,6485255848
398529,449248118 -212898,288020826
252401,486371794 -5242,03132748372
426782,841031683 17683,9782143403
382660,674236997 129797,00156683
7188,33729235844 512981,935282777
30,122914885228 -276957,076858918
149749,914417312 -684518,774268629
-19227,298492599 127401,258888071
25788,2040440423 5813,39057726478
-739235,813150285 -276103,377670026
702803,462092969 445612,63011237
25476,0840067417 -308666,11335511
560817,632021577 3574,26321887191
-268306,421760091 638183,234576796
360681,223115817 254318,360665292
-168149,661342786 -157177,933859324
-56737,7758958902 61570,6046939653
-322462,200757893 282481,981096462
20236,010492132 577462,061728342
-437964,087167903 -218077,530903454
370100,334716298 -561564,243240468
634898,047601442 -605230,190272986
-19320,252709156 -49246,9434191803
-434383,513044355 -60826,2568469328
-77820,6401458688 -358358,300526912
-147789,752134252 -4533,3454199258
-847768,207238726 125741,807019123
44960,5913918901 40777,9382211519
176677,181849884 218262,540085046
-21589,8809403181 11332,5705032142
517237,834549797 182235,835868527
-330417,69719376 -66731,9150968366
80398,7880453033 -148307,543179575
-245462,470408306 -184357,642939388
691036,239030928 224145,351524608
-752453,575209181 -131126,322686707
-88388,8504052618 29955,2797021434
-349603,054572522 717286,646449404
-891831,375411693 715055,199089918
-134366,828201457 -386309,945008591
112283,121889567 65693,4666554902
37568,7814562227 70510,2661426604
717,728053745687 670732,238574157
592281,664879587 -441392,667241655
-189927,729802959 -33073,3157629069
-23130,9025085791 -75765,34495872
-8906,76410515176 44466,6865587806
78703,1247218671 422698,431324827
80962,3328130051 -199425,74530639
-27114,511105398 41226,6939072025
-170185,765974485 308273,828062582
11322,3975590739 258464,363235066
278056,715762236 37966,2976808736
-18953,2728820021 -132954,404039455
8405,48125749896 96003,933758432
9207,27834587371 46890,1272526314
187999,836882569 761275,18745076
-318571,083054682 54961,2156047138
571339,662524483 267800,979971542
-326906,891064676 30177,8854387411
75570,7859474434 238804,078373319
-64223,1925371244 77366,9616734232
439041,13187154 -715011,382483971
-137771,077674379 294826,915174843
773545,501480655 60715,2213094641
-427079,428985595 -672865,257035956
-95940,3692496961 262970,004470632
-299252,08102485 -259536,023718324
495845,473770958 -40386,8660677815
622998,019286102 569208,495214576
103855,730285101 -511826,541637635
312265,530311731 331434,285332833
-694033,944805468 108612,899495428
262739,73936253 686956,289667265
-757354,846846183 -386911,134105158
-115448,172231251 -3382,80038603013
-23150,2770817626 474404,671176191
309388,858501873 883242,177595916
-727493,167765675 2609,40729940748
567560,895311624 -260467,597220996
-53657,0401013722 -199246,226807064
-41299,7933547594 681195,024644905
71248,0840295265 -15510,304237703
42971,2301716354 98312,4407760503
5093,48683042661 -405724,432074173
-46314,4970481505 -45795,8809982035
681638,821702198 -71706,7433904827
388251,438014753 234870,264940787
69962,2874185789 -300416,697164089
22783,0761481929 270989,836230612
-67138,1066126344 -125786,28342498
879668,884525299 -386042,857497187
-50464,8023353563 -706434,156993129
-70535,0708473148 -55257,5075708551
389483,469452608 -113282,397422177
485196,116002271 605522,703013533
752619,275312308 3619,85202382684
496107,725877209 43869,7119804126
-664869,857701633 -54258,9779508403
108467,841467182 63355,3195955932
-71637,4500472864 552296,309548564
495232,570917547 844593,291241689
-336622,283369395 349001,776036933
155410,411029784 21927,0305850208
-538576,25668105 -17478,9803508804
-72296,6682532265 -279040,986431297
33437,4582150357 462294,862199092
-287190,86223957 158993,500843024
60977,1427435652 -437723,02446924
291606,97326955 57761,4417911132
548057,853021278 235563,819389773
-979469,369113426 -366076,025563913
-84666,8050465564 92304,3914862929
480762,026742765 19136,8372611384
-352391,015773395 -462406,247275929
309090,702321173 374253,911897562
-20611,799699949 339060,161063209
-6117,42821059629 -163800,289534578
194789,159509134 -605173,977520165
107804,440418975 -134686,355613633
-222425,592676629 -315946,686817393
59126,8090561809 768234,159750964
109830,686003962 -143928,134241569
-105855,086101831 -420820,907625832
599046,46050682 114050,272153045
-718720,621584866 -148464,863038263
103944,155435226 -255090,949126088
233519,1742303 -302042,467083385
-311683,043701826 -72167,9901877483
-717164,040047088 -319550,873624769
-42639,6026547782 320318,386382309
32196,2390363031 -106150,69243631
-384254,302498717 747649,112625551
173780,995077678 14797,9894028758
-98403,2097545467 -255479,837505857
-221498,705426395 -322731,667338773
105624,855730791 -574715,505943349
316821,707482705 29891,2129033726
-63577,7889697709 651970,993748202
627623,108852288 -117586,068731562
363853,594421166 -17846,0531103974
-373918,720851434 -398017,093794942
154689,400372368 110888,904713699
102743,618610268 167638,837905865
126303,832949024 280473,05097874
462726,88833766 306857,347413319
618020,882994554 -23223,1247022194
119453,214123099 -163056,761857607
173480,445635372 137443,798773153
124973,615144396 57113,436188542
-313058,520743592 499946,691628068
582762,439512627 113114,045705668
-80134,2983386346 -474805,43226882
701192,808090542 130238,553210241
709599,795683817 -177255,188909497
209609,578976327 -319529,149646409
89187,8804805325 -87536,9981587348
-40871,9618143625 342181,036924952
104805,045104209 -184186,040628704
27895,1147114472 101804,413868327
-699808,852643426 367148,824093891
-174411,869962046 118725,768390677
61671,5386372421 24153,5123154747
283453,860460948 -257856,388695303
-186336,397232674 484800,580378179
33675,6434753386 -7965,78316424078
-152870,751958364 -192426,510483839
130626,351620603 -27823,8645197329
-936257,434856697 -654348,715461372
-124406,092345624 -251986,207528872
38904,7956879948 110324,515006518
38474,01405212 128253,607669805
-252501,826058348 -154388,780614665
-459452,744155701 228698,273390864
320687,12692048 -566910,591646889
-65747,9469562932 -184395,523486259
617127,324740058 -613567,878798597
-264232,97666928 -44376,7720784167
-133322,871809914 -40756,7851389389
339538,294308136 -29785,6743103814
488977,798704895 -199597,252497438
-151537,787484684 17162,8288212143
-187612,797809439 -258009,310565672
-22573,7677809753 205401,384653946
-61528,8656580615 649450,910765499
-202192,456195444 -648376,644097658
487662,04735687 573864,32487597
258453,881556056 138660,354206378
-98804,7129000513 -432732,433036572
-450495,64463409 -693205,084307732
-105563,646281112 191376,247824937
-682466,68198852 -65639,4549863708
187154,83815532 175872,354196157
56865,5375229807 -138978,956231579
146175,67435677 -322918,037027987
-257160,607652997 -218640,896014756
479386,141368149 -58958,2489225535
-261650,572994438 -574852,240355913
-46484,5549837004 171071,231566719
-316512,34923486 25116,2576377002
-323732,781049317 -494171,778688766
188256,816555738 334251,494914909
59991,3920945844 388919,203920006
35936,4353165573 -39428,5910160647
492713,917135631 109192,702557164
56369,8854611776 148044,946776623
51237,9839480659 -241943,246109757
96985,3934388093 247142,304648521
21307,343961002 -144614,238397597
274206,349119027 298896,29758472
-199877,572796866 -79882,4194705814
25439,9810905205 -868610,164322476
368000,987015609 -3730,41914345623
13596,2937085164 -49555,6515499594
656546,776328826 452507,064937666
-309690,466761105 707767,623764573
-195468,776811758 -60794,6652111088
752127,947704281 -18056,5521806286
-291863,741080891 194769,994594039
746941,349207414 -88659,287712285
213422,566932135 26861,1933953996
231200,361737878 672046,005998898
152451,694901479 379749,862523249
664876,938144887 1504,53322889634
-19640,8839546968 299016,187438865
200077,308742894 -985419,386247696
-181854,164767682 -91245,1539422167
29500,7073220241 -14199,0631080461
59758,2291179189 611020,75183165
337225,069936241 -494181,958863761
6575,41079179543 12264,3187498605
-669873,916677171 -101939,526259135
728807,314097148 330369,694918792
63785,0445665326 -138536,447666239
-366762,293233145 243467,041883032
94151,2484878149 -355497,119504139
-704883,250677359 -9139,76018501807
-650707,450156918 -299131,096132126
-105172,051685691 157109,170548876
-147340,501090946 499761,0376578
-724198,704466899 -483663,698717749
-298900,421894089 -352137,054724749
98221,4805638145 10757,2413763563
737657,224197194 -747158,749452946
-501416,00108295 139177,233752063
2464,43953591978 -126813,987023492
54140,612754199 -334977,784967679
-29197,4577484524 -773098,414028925
113379,274720549 -343325,756045155
28220,5453399478 8451,30400771802
178677,14706181 -61906,8618783969
-158546,708621234 138312,895314575
-36224,6313843916 -410052,834361774
-1730,48907598038 -757983,991747377
291613,441561409 -54811,0378526943
-72753,2968104823 -272519,820942432
-23860,0240735412 -152573,050752093
-11315,8107817363 -357534,426702976
-208258,286069533 256164,170122223
496556,869627882 -349638,924564737
86792,3526175368 -51400,6653222491
626218,316079187 -52213,9259337461
-182508,611013125 -459075,722847974
-179578,250741796 84541,4084601595
-5823,32315759329 448755,568085861
594779,23471431 -3056,3051794359
252200,037197139 -66002,6937730549
-262610,546369876 856983,690287654
554989,019615449 20939,7668840246
-64819,1668545102 70872,8866444537
-276139,202982133 -7421,66285631604
-388872,712787069 -147693,50050993
-86921,7556408922 -435857,21251316
354070,762811216 165471,699555016
6651,94117170616 -284850,487029153
-76416,328712416 29491,7898896298
-8613,61461323156 174195,966693408
112991,863488005 267697,829189112
-35800,3444883569 -141188,859367666
13586,4715283864 79348,2526188419
420650,079174286 181426,34678626
-43364,4894492405 -196546,251850397
-735829,421447268 -389332,333465489
638718,942443799 -72110,9751039902
-62470,6424402793 5181,8892747303
-748969,09550029 214462,976333948
382391,360348263 103012,730267289
-86438,0432197363 -395398,147151641
1261,53398312513 320045,543613667
147616,313469276 -406816,605692884
-349977,923905042 -861,853758199538
616129,999680392 21051,3688752956
177987,689581444 -236679,666904286
44816,238274688 -97773,490565086
74470,5888239111 48393,9390962203
-31926,9638423472 805774,850849792
615524,484097364 -74684,1871126421
-273761,678854004 -568516,4174056
-46181,9111112691 642165,431941617
-244033,442173484 -84112,7290232842
-35527,4385094631 751675,639856255
-480126,692638162 615853,965079217
-506730,864267429 -69712,7696822774
594557,830093572 561116,976282896
-75866,1199869933 -646373,251419382
-68417,6903447233 -84082,7626936821
-43511,1715278813 356319,195685744
208627,206509175 388363,322169523
862153,176381621 157320,994259306
-11732,6757269551 21341,7306497832
632884,584485267 241784,961331172
-593105,409397431 -358187,74192023
-268996,509966413 -423404,483437445
172743,327962222 -167993,781800867
736426,879577397 -8051,79982241048
351378,084074347 -567292,322736056
348634,439055222 -463222,340938282
-405554,281528035 -181208,545309408
92040,4495511793 -779426,311192731
-381193,074181874 364754,983633691
-421617,349363232 -171764,118207764
-6296,37087230309 -438812,833186446
22427,1850076286 -130415,830498477
354769,036864809 -289624,840853361
18792,3900298515 467434,332977518
54593,1659962685 -303647,187148593
-472521,684873138 372961,223061449
-31438,6822137929 -55305,6586029463
5826,55753944701 270198,211767152
-365905,685239406 -166421,073205894
62509,1325527263 -2113,07783712404
-262850,08835943 -20130,6778847848
425174,495770965 -44311,930432924
85710,8817438497 382849,54143544
-235644,621940369 -196920,000610517
-303634,588930881 -949913,368449551
470362,240887975 347919,388474058
358071,960731532 -478020,305394362
40526,0457402915 -867744,88655068
114274,055455031 -337579,593138625
6993,66394965149 315289,249049049
-57619,0074432618 321786,20256567
-354602,001459136 465638,37696383
26240,0131322481 10878,7896207514
156273,354079693 -125146,502177735
395388,694836342 4056,79849034492
-85875,1253144304 -112152,715397403
-273375,132153687 -85677,4425782857
-23996,8240490839 309674,073933132
45878,5818073724 55049,8743156474
-124314,856066807 -60191,7494886772
626429,429490436 -136019,284216779
45024,3318363085 -233389,294108851
5973,44617942974 750693,507526528
565681,704675687 85284,345825229
289338,367426615 -323480,919831399
415668,039724516 -226269,911116539
-161707,351468491 -339580,306879213
488040,166080716 -484253,903929643
-447325,225529234 -400741,492997986
547902,470166329 310386,324389992
-479,98647198546 -268008,727475355
-208557,719412626 75157,1261093193
-73873,3119857243 -199820,662828221
829832,563392271 -80871,131742802
60626,1158260313 -455651,395720118
290776,165583653 12490,0766581493
303784,408491843 16677,00787433
11684,3527131287 -19361,6141377919
-322726,582966692 -836729,171666176
140501,511357619 345912,83840352
-36314,0805389407 -206082,699326621
4580,7417995393 86997,4197014409
18060,0651966911 385557,950773543
201316,857944372 135626,656136413
-140127,778641097 1800,60472035902
-194127,827300273 62169,3280283694
224410,927637914 8157,66412270426
7396,1619897262 -13689,4537756683
-273467,708771138 -190748,108363949
-84699,0343476688 37199,0059571392
111788,135702341 -232150,338741577
-164719,139282777 -251032,350264984
-56954,5694362645 365661,015303968
-792543,89773562 -427917,697811534
-5903,33205412577 6219,68442037128
178780,333920978 78112,9162970851
85508,2231613841 -25349,7614452842
-827939,941536318 168635,276453912
244045,75243296 -49541,3294135948
-42007,1808097741 125604,14646191
507552,836199345 323161,874642413
-3910,86369915626 -322360,401826101
-46523,6576001764 -135056,571712653
125563,489364097 -179720,493043273
164989,786391943 674541,242790347
-79433,7129797133 337956,023510011
6039,94545545426 108617,158528925
4171,45968622177 -135349,824559583
-191796,907901387 -10243,7084360736
540305,387929539 237809,506098135
-41385,1639231779 95115,6264384387
83556,4149162008 -264881,070993433
53152,6782858785 -126779,176965505
-39800,1050063852 487741,060078014
152905,781569498 -50182,4077916948
-586306,659956828 338246,692660054
-37531,5857198926 -337471,0793796
1561,74721075303 -164344,366580958
180340,809448921 -152949,252522065
74103,443242992 146782,199647341
372834,077496777 -129930,102503453
83265,4284795008 -112207,776726054
-48645,8333111446 -199715,022761027
422125,406205903 -135503,39446475
-204754,325184582 405025,94932667
-376424,880400371 -131885,172290114
247870,452817946 -576669,885138029
271304,519699559 -104227,741101909
27121,9610165618 -532217,481839972
86411,6000442075 64676,7473182114
683961,131307463 238541,03391555
383429,908678187 81757,6249869697
-767802,080774982 -130350,634974788
82128,1996480046 178978,494773889
-517079,713022886 535601,396451546
-149914,051690751 -259225,306351995
16831,7373523134 915388,383111676
8544,6462315473 531214,523159179
-119015,964345362 185829,897063798
86979,4706713629 -617096,103621
23060,3398227554 627264,811638644
-479318,200853988 -126578,427306568
654568,723304479 22959,7495305761
247698,80001949 433543,199656793
132173,244114496 245123,197491102
870462,902560896 64119,7960069439
477319,592693083 80164,2680147482
-225445,437891116 -219160,239570611
-342,00266594533 -82896,2664081092
-26168,4924570054 416461,704894555
378397,803356808 -382818,78206261
692569,289817464 -552385,318274602
142348,776252022 404501,536241463
-86283,4579233795 476680,7168018
-21506,3503906882 -396774,327564256
178512,272238862 -137457,685982967
146740,234390938 135289,894681937
142078,890117562 -150757,346414043
-587843,36577377 167266,986303968
26178,2978224174 -155,949101260374
110509,142064436 -58211,5418308338
481563,810749424 -63722,1758350414
-341911,002728957 13833,9321705722
-122312,43005826 454366,867509586
80781,0428114296 64267,7621550168
-177017,631713507 124208,969934914
-443392,823812572 135188,814921033
295880,508819806 356948,643868076
115184,402394543 403013,524683001
868071,764447904 -29737,0402136347
-187780,579223165 -5336,96842284779
87103,926725802 891638,41452651
-120263,396620114 535976,034595035
-340011,497871464 147579,686263205
-23764,0798660461 -379373,357292979
785099,627495659 -609125,512458902
62520,3345180863 -88394,1311616162
-112144,688641522 144881,47151979
530518,994496956 221707,654494708
697139,869931759 -2380,80055375667
106617,925514438 -144314,128593737
23645,8839762695 -163730,923520821
-143551,494787005 -648220,776993951
618371,213677399 -252045,895539032
199014,037625408 -67390,8059077988
-856635,55572275 163317,041331409
9551,59344161469 -171723,403050064
85233,4549651032 -107530,465791402
28436,179217877 136746,327949244
83125,5205512454 -442767,569114202
459572,964792141 345231,286459079
-390317,229165273 463082,940535193
165478,076235605 124321,745451046
-61467,7633855156 -716521,848285687
-592775,555341174 -293352,907322255
-145550,282503197 113973,453017796
-362130,923552961 616515,633125952
890954,205543303 125694,03119078
301742,914336036 284694,792978951
-640142,541089071 -60055,2547321996
-1839,58300348072 -47755,4452997513
-102512,379854222 -460954,604057533
-101044,526297787 -661442,7529871
-345658,179057099 -41427,1535758912
247873,997484872 81998,4800987218
720507,531921075 -755456,796376747
98296,3786291556 -12512,3634786822
97974,8999790591 38826,8844939446
-221816,625816141 22060,6052678696
208209,008061091 720643,451204357
-7797,88279123971 574040,854278507
521386,891527349 -9825,36040659545
-6359,53765899201 258287,139027499
-323933,811987807 406964,757166395
-628815,475849701 371720,696866443
313027,536013707 464302,088403186
24811,3841522352 317487,497185504
176659,311620704 -255613,807841961
214362,901839689 -416246,843438279
-150128,468439912 713067,914491369
160833,976058435 -471490,663256023
13229,2937485847 348294,617597722
47568,5509367918 -87547,1518864679
81143,2371046577 -555147,473166414
-154929,253185649 -263851,93730082
-121568,258593705 -1075,7280695018
-419024,251711158 544221,468880775
53704,8705355687 97196,2770207339
21016,4360555524 254931,846175104
49949,5573584156 140090,515267064
-255161,713058379 -161149,323914445
-127983,553710386 93037,9293451933
-39757,0888341293 -206072,214344645
70166,1819287046 75842,9055222664
-31216,0069245119 -13747,8455319013
-173555,405474263 212284,34540333
103920,829769632 -68549,2824406704
-345046,912265539 -277307,749150772
375585,493113653 629704,859899045
802372,989846227 15560,9388049473
335194,949524676 -170927,740281208
626981,179265211 -505668,186524862
-5871,40542345746 -387703,841223057
263273,330989462 -202112,538207896
-49446,5143293955 20466,3872016321
-474,445477708916 -417960,700859348
487829,993742262 882406,427073683
-336990,681212821 31131,9699400845
-18575,1343002702 35142,8437857995
432646,395324492 6704,07918411078
-644197,867551435 -695121,21542055
471455,331352863 295217,71596963
-2024,3127954003 -1795,73032622772
-41553,8434048942 191879,269064747
-169443,339891885 -75500,9312721309
59972,0543800155 -351049,379105031
698164,259196656 -576294,156717976
357603,975605254 12929,3610569748
-125678,285352259 -452977,726506853
220681,721014057 65026,2170492756
208392,803160284 -10131,8805855386
-253422,127782206 83361,6105504155
362853,561453205 -127214,526883137
-154291,169364825 -70975,408006014
70925,7966965427 815171,373018896
124511,468084067 309043,538023412
-197664,035247836 183048,640232469
-18059,9480348378 98821,5895350974
239861,379043307 98309,7438619499
17186,3187590941 14890,4264552754
-577051,596271419 22515,6154113019
-14412,6153114664 198649,380182534
9566,31253875155 601489,730980667
-388995,758037877 -154099,278055209
442845,503576106 788934,192691899
863956,406701771 671375,230579297
80258,712243982 -369952,897482194
68938,1044963971 -28186,8367530829
353570,277893863 353995,670222899
-198268,066083481 -333389,123092428
-47000,060592454 -92334,9481512303
-203176,638077244 70606,3221383832
106123,978302289 176829,995651177
-457135,158772532 -69398,5212392502
109629,085095434 -218491,388510704
-57451,1976045096 3964,15379198182
59344,8731814087 467534,37446319
-261824,754503828 -92842,8619493744
-15265,6081986733 -61802,1334985989
382400,27844864 190904,221125905
-79464,1967522466 352597,575565923
601704,939967674 -26979,0415959475
-166739,626267334 -212071,508061249
-44847,9808995165 -58147,3883171232
88558,7041245409 110711,160886999
-71134,4878168565 399594,512567317
467573,421882667 -178206,585622116
-478885,103057618 -2021,47493855724
-30638,559308308 -89915,6531381736
-131680,672710841 -937721,141187073
-700733,596990005 -303075,248881967
-173078,723638904 176754,064840768
97107,8249632501 366007,536624999
-13746,7090480932 -16204,9228608077
-203875,553267052 -69940,3524945655
-299307,433791742 467208,355984548
869281,727699293 424676,207512666
175559,886199224 -409269,636662578
-400644,786809441 117457,550070543
168494,958118354 -63091,0745507866
527225,553716414 -50873,5596572764
840908,582400782 342706,371876187
-17641,4335023488 553292,215928283
295808,555584604 276243,931079492
486093,984853342 244308,456403876
-509642,638822129 310581,865154231
-305397,513270621 -159052,661429758
-96511,2587742308 -61585,4886780109
-108652,939840204 155807,70414906
-51498,0797663927 5717,04108714175
-273772,391485065 15823,9363655583
-32252,423811855 265943,70930814
49507,2306212006 107265,197154371
-71761,5806196991 30313,2268901138
-438634,048992914 -600570,004921163
44238,7259160116 -674634,492255169
743444,550838398 -49732,0918650255
216302,866435805 -833175,53819468
-494960,208839225 -76102,7579058934
-19974,2792074938 -589349,451508448
200145,953045445 168614,054565125
671435,507645448 204962,178611778
-56231,0230898666 -317774,408016206
742686,343382644 -72174,0747654797
-369536,715658627 342936,949859454
174921,512771892 388873,585877145
-810606,919298565 -659614,198561698
-14648,920896918 531013,375829604
-64463,8938743574 821692,6744564
62961,5036058247 62042,6477036591
-491989,610908106 116896,442701878
-63390,6246473261 -141418,048487313
-329189,038534354 104583,512343423
-187062,445175482 323773,681646445
139623,266442923 -16334,7751041794
628063,683512285 112255,412970835
272563,686260321 153651,672784656
-514986,330759519 -356853,257629768
624247,392942715 9841,09313810993
-369535,942691124 -102897,234481332
445821,790676516 -39600,6346880601
-53889,865997374 391805,086448733
-180145,312290243 -222499,3539327
-281672,233229132 -112633,220064801
-486750,134970269 -390386,880678097
-47272,1229008642 -527276,03284085
33,1095772320915 -1286,9240128691
609204,164392484 -727802,170475477
250712,993850973 -386833,473155147
-15752,7603418905 -569543,742513059
179836,51136264 -199304,706425173
-127554,850044372 -84431,0959231696
-53870,0944482792 -557476,384123634
92016,1936711344 -3946,28894286151
364284,680011349 339296,757180932
50485,7555541609 -578618,868114408
-19254,6254012522 -22158,8624378368
-13457,7940362067 452061,098592926
23225,1854890264 -649738,384119122
-456693,425539721 -255687,518797809
136462,325320166 -346817,181929594
108796,956468507 -7921,65399929213
819018,580001931 -404562,731309404
-279069,851550105 335840,79000913
